"ID","Categoria","Titulo","Archivo_original","HTML","Word_portal","Conversion_OK","Error"
"doc_019","POEs comunes","BB-GEN-006 - Auditorías internas y revisión de gestión","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-006 - Auditorías internas y revisión de gestión.docx","doc_019.html","doc_019.docx",TRUE,""
"doc_020","POEs comunes","BB-GEN-007 - Gestión de consentimiento informado, restricciones de uso y revocación","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-007 - Gestión de consentimiento informado, restricciones de uso y revocación.docx","doc_020.html","doc_020.docx",TRUE,""
"doc_021","POEs comunes","BB-MUE-001 - Recepción, aceptación y rechazo de muestras","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-MUE-001 - Recepción, aceptación y rechazo de muestras.docx","doc_021.html","doc_021.docx",TRUE,""
"doc_022","POEs comunes","BB-MUE-002 - Identificación, etiquetado y codificación","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-MUE-002 - Identificación, etiquetado y codificación.docx","doc_022.html","doc_022.docx",TRUE,""
"doc_023","POEs comunes","BB-MUE-003 - Asignación de ubicación, almacenamiento y recuperación","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-MUE-003 - Asignación de ubicación, almacenamiento y recuperación.docx","doc_023.html","doc_023.docx",TRUE,""
"doc_024","POEs comunes","BB-MUE-004 - Descongelamiento, manipulación, alicuotado y recongelamiento","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-MUE-004 - Descongelamiento, manipulación, alicuotado y recongelamiento.docx","doc_024.html","doc_024.docx",TRUE,""
"doc_025","POEs comunes","BB-MUE-005 - Retiro, distribución, derivación y envío de muestras","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-MUE-005 - Retiro, distribución, derivación y envío de muestras.docx","doc_025.html","doc_025.docx",TRUE,""
"doc_026","POEs comunes","BB-MUE-006 - Descarte, destrucción y disposición final","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-MUE-006 - Descarte, destrucción y disposición final.docx","doc_026.html","doc_026.docx",TRUE,""
"doc_027","Unidad A · Investigación institucional","03 Indice POE Unidad A Investigacion Institucional","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/03_POE_Unidad_A_Investigacion_Institucional_v0.1/03_Indice_POE_Unidad_A_Investigacion_Institucional_v0.1.docx","doc_027.html","doc_027.docx",TRUE,""
"doc_028","Unidad A · Investigación institucional","BB-INS-001 - Solicitud, evaluación y apertura de colección institucional","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/03_POE_Unidad_A_Investigacion_Institucional_v0.1/BB-INS-001 - Solicitud, evaluación y apertura de colección institucional.docx","doc_028.html","doc_028.docx",TRUE,""
"doc_029","Unidad A · Investigación institucional","BB-INS-002 - Ingreso periódico de muestras a colecciones institucionales","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/03_POE_Unidad_A_Investigacion_Institucional_v0.1/BB-INS-002 - Ingreso periódico de muestras a colecciones institucionales.docx","doc_029.html","doc_029.docx",TRUE,""
"doc_030","Unidad A · Investigación institucional","BB-INS-003 - Solicitud y autorización de muestras para investigación","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/03_POE_Unidad_A_Investigacion_Institucional_v0.1/BB-INS-003 - Solicitud y autorización de muestras para investigación.docx","doc_030.html","doc_030.docx",TRUE,""
"doc_031","Unidad A · Investigación institucional","BB-INS-004 - Cesión a terceros y acuerdos de transferencia de material:datos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/03_POE_Unidad_A_Investigacion_Institucional_v0.1/BB-INS-004 - Cesión a terceros y acuerdos de transferencia de material:datos.docx","doc_031.html","doc_031.docx",TRUE,""
"doc_032","Unidad A · Investigación institucional","BB-INS-005 - Cierre de colección institucional","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/03_POE_Unidad_A_Investigacion_Institucional_v0.1/BB-INS-005 - Cierre de colección institucional.docx","doc_032.html","doc_032.docx",TRUE,""
"doc_033","Unidad B · Servicios / Industria","04 Indice POE Unidad B Servicios Industria","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/04_Indice_POE_Unidad_B_Servicios_Industria_v0.1.docx","doc_033.html","doc_033.docx",TRUE,""
"doc_034","Unidad B · Servicios / Industria","BB-CLI-001 - Evaluación y aceptación de servicios, protocolos clínicos y contratos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-001 - Evaluación y aceptación de servicios, protocolos clínicos y contratos.docx","doc_034.html","doc_034.docx",TRUE,""
"doc_035","Unidad B · Servicios / Industria","BB-CLI-002 - Recepción de muestras de protocolos clínicos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-002 - Recepción de muestras de protocolos clínicos.docx","doc_035.html","doc_035.docx",TRUE,""
"doc_036","Unidad B · Servicios / Industria","BB-CLI-003 - Cadena de custodia para muestras de industria","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-003 - Cadena de custodia para muestras de industria.docx","doc_036.html","doc_036.docx",TRUE,""
"doc_037","Unidad B · Servicios / Industria","BB-CLI-004 - Gestión de desviaciones de protocolo y no conformidades del patrocinador","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-004 - Gestión de desviaciones de protocolo y no conformidades del patrocinador.docx","doc_037.html","doc_037.docx",TRUE,""
"doc_038","Unidad B · Servicios / Industria","BB-CLI-005 - Excursiones de temperatura en estudios patrocinados","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-005 - Excursiones de temperatura en estudios patrocinados.docx","doc_038.html","doc_038.docx",TRUE,""
"doc_039","Unidad B · Servicios / Industria","BB-CLI-006 - Visitas de monitoría, auditorías de patrocinadores y autoridades","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-006 - Visitas de monitoría, auditorías de patrocinadores y autoridades.docx","doc_039.html","doc_039.docx",TRUE,""
"doc_040","Unidad B · Servicios / Industria","BB-CLI-007 - Preparación y envío nacional:internacional de muestras de protocolos clínicos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-007 - Preparación y envío nacional:internacional de muestras de protocolos clínicos.docx","doc_040.html","doc_040.docx",TRUE,""
"doc_041","Unidad B · Servicios / Industria","BB-CLI-008 - Archivo esencial del servicio:estudio","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-008 - Archivo esencial del servicio:estudio.docx","doc_041.html","doc_041.docx",TRUE,""
"doc_042","Unidad B · Servicios / Industria","BB-CLI-009 - Cierre de protocolo:servicio y disposición final","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/04_POE_Unidad_B_Servicios_Industria_v0.1/BB-CLI-009 - Cierre de protocolo:servicio y disposición final.docx","doc_042.html","doc_042.docx",TRUE,""
"doc_043","Formularios y registros","05 Formularios y Registros Maestros","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/05_Formularios_y_Registros_Maestros_v0.1.docx","doc_043.html","doc_043.docx",TRUE,""
"doc_044","Formularios y registros","BB-FOR-001 - Matriz de equipos y asignación de salas","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-001 - Matriz de equipos y asignación de salas.docx","doc_044.html","doc_044.docx",TRUE,""
"doc_045","Formularios y registros","BB-FOR-002 - Registro diario de revisión de temperaturas","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-002 - Registro diario de revisión de temperaturas.docx","doc_045.html","doc_045.docx",TRUE,""
"doc_046","Formularios y registros","BB-FOR-003 - Reporte de alarma : excursión de temperatura","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-003 - Reporte de alarma : excursión de temperatura.docx","doc_046.html","doc_046.docx",TRUE,""
"doc_047","Formularios y registros","BB-FOR-004 - Registro de acceso y visitas","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-004 - Registro de acceso y visitas.docx","doc_047.html","doc_047.docx",TRUE,""
"doc_048","Formularios y registros","BB-FOR-005 - Ficha de capacitación y competencia","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-005 - Ficha de capacitación y competencia.docx","doc_048.html","doc_048.docx",TRUE,""
"doc_049","Formularios y registros","BB-FOR-006 - Ficha de mantenimiento : intervención de equipo","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-006 - Ficha de mantenimiento : intervención de equipo.docx","doc_049.html","doc_049.docx",TRUE,""
"doc_050","Formularios y registros","BB-FOR-007 - Recepción, aceptación o rechazo de muestras","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-007 - Recepción, aceptación o rechazo de muestras.docx","doc_050.html","doc_050.docx",TRUE,""
"doc_051","Formularios y registros","BB-FOR-008 - Movimiento de muestras : cadena de custodia","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-008 - Movimiento de muestras : cadena de custodia.docx","doc_051.html","doc_051.docx",TRUE,""
"doc_052","Formularios y registros","BB-FOR-009 - Traslado por contingencia : backup","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-009 - Traslado por contingencia : backup.docx","doc_052.html","doc_052.docx",TRUE,""
"doc_053","Formularios y registros","BB-FOR-010 - Desviación, no conformidad y CAPA","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-010 - Desviación, no conformidad y CAPA.docx","doc_053.html","doc_053.docx",TRUE,""
"doc_054","Formularios y registros","BB-FOR-011 - Revocación : modificación de autorización de uso","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-011 - Revocación : modificación de autorización de uso.docx","doc_054.html","doc_054.docx",TRUE,""
"doc_055","Formularios y registros","BB-FOR-012 - Solicitud de apertura de colección institucional","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-012 - Solicitud de apertura de colección institucional.docx","doc_055.html","doc_055.docx",TRUE,""
"doc_056","Formularios y registros","BB-FOR-013 - Evaluación de nuevo servicio : protocolo de industria","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-013 - Evaluación de nuevo servicio : protocolo de industria.docx","doc_056.html","doc_056.docx",TRUE,""
"doc_057","Formularios y registros","BB-FOR-014 - Solicitud y autorización de salida : envío","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-014 - Solicitud y autorización de salida : envío.docx","doc_057.html","doc_057.docx",TRUE,""
"doc_058","Formularios y registros","BB-FOR-015 - Acta de destrucción : disposición final","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-015 - Acta de destrucción : disposición final.docx","doc_058.html","doc_058.docx",TRUE,""
"doc_059","Formularios y registros","BB-FOR-016 - Conciliación físico-NORAYBANKS","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-016 - Conciliación físico-NORAYBANKS.docx","doc_059.html","doc_059.docx",TRUE,""
"doc_060","Formularios y registros","BB-FOR-017 - Checklist de apertura:cierre diario de sala","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/05_Formularios_y_Registros_Maestros_v0.1/BB-FOR-017 - Checklist de apertura:cierre diario de sala.docx","doc_060.html","doc_060.docx",TRUE,""
"doc_061","Matriz documental y regulatoria","06 Matriz Maestra Documental y Regulatoria","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/06_Matriz_Maestra_Documental_y_Regulatoria_v0.1.docx","doc_061.html","doc_061.docx",TRUE,""
